station_name	latitude	longitude	elevation	Instrumentation	start_date	start_time
TAP010	25.065	121.478	234	NANO	1 1316	99999
TAP011	25.057	121.488	252	IDS	9208	99051
TAP011	25.057	121.488	989	ETNA	1 9905	08140
TAP011	25.055	121.497	989	ETNA	1 0814	99999
TAP012	25.055	121.508	253	IDS	9209	99042
TAP012	25.055	121.508	005	ETNA	1 9904	08140
TAP012	25.053	121.517	005	ETNA	1 0814	19141
TAP012	25.053	121.517	292	SMTA	1 1914	99999
TAP013	25.057	121.526	254	IDS	9209	99042
TAP013	25.057	121.526	000	ETNA	1 9904	01141
TAP013	25.057	121.526	483	A900	0116	08140
TAP013	25.055	121.534	483	A900	0814	10232
TAP013	25.055	121.534	287	SMTA	1 1023	99999
TAP014	25.057	121.544	255	IDS	9210	99042
TAP014	25.057	121.544	007	ETNA	1 9904	03220
TAP014	25.057	121.544	999	ETNA	1 0322	08140
TAP014	25.055	121.552	999	ETNA	1 0814	99999
TAP014	25.055	121.552	311	A900	1 1014	10232
TAP014	25.055	121.552	343	SMTA	1 1023	99999
TAP015	25.052	121.571	256	IDS	9210	99042
TAP015	25.052	121.571	999	ETNA	1 9904	01170
TAP015	25.052	121.571	513	A900	1 0123	08140
TAP015	25.05	121.579	513	A900	1 0814	14151
TAP015	25.05	121.579	115	NANO	1 1415	99999
TAP016	25.062	121.424	257	IDS	9209	99051
TAP016	25.062	121.424	991	ETNA	1 9905	08140
TAP016	25.062	121.431	991	ETNA	1 0814	15243
TAP016	25.06	121.431	235	NANO	1 1316	99999
TAP017	25.053	121.448	258	IDS	9209	98051
TAP017	25.053	121.448	008	ETNA	1 9905	08140
TAP017	25.052	121.456	008	ETNA	1 0814	99999
TAP018	25.033	121.465	259	IDS	9208	93060
TAP019	25.037	121.488	260	IDS	9209	99062
TAP019	25.037	121.488	578	ETNA	9912	08140
TAP019	25.037	121.496	578	ETNA	1 0814	99999
TAP020	25.038	121.527	261	IDS	9210	99060
TAP020	25.038	121.527	002	ETNA	1 9906	08140
TAP020	25.037	121.534	002	ETNA	1 0814	14213
TAP020	25.037	121.535	412	A900	1 1014	10232
TAP020	25.037	121.534	284	SMTA	1 1023	99999
TAP021	25.037	121.543	262	IDS	9210	99063
TAP021	25.037	121.543	580	ETNA	1 9906	08140
TAP021	25.035	121.552	580	ETNA	1 0814	19141
TAP021	25.035	121.552	423	SMTA	1 1914	99999
TAP022	25.032	121.555	263	IDS	9210	99060
TAP022	25.032	121.555	289	IDS	0217	05152
TAP022	25.032	121.555	997	ETNA	1 9906	08140
TAP022	25.03	121.563	997	ETNA	1 0814	99999
TAP023	25.018	121.46	264	IDS	9208	98023
TAP024	25.02	121.466	265	IDS	9208	99062
TAP024	25.02	121.466	982	ETNA	1 9906	01212
TAP024	25.02	121.466	557	A900	1 0222	08140
TAP024	25.018	121.474	557	A900	1 0814	14140
TAP024	25.018	121.475	231	NANO	1 1317	99999
TAP025	25.025	121.49	266	IDS	9209	99062
TAP025	25.025	121.49	987	ETNA	1 9906	03220
TAP025	25.025	121.49	583	ETNA	1 0322	08140
TAP025	25.022	121.498	583	ETNA	1 0814	15243
TAP025	25.022	121.498	995	ETNA	1 1613	18142
TAP025	25.022	121.498	575	ETNA	1 1814	99999
TAP025	25.022	121.498	382	A900	1 1013	10240
TAP025	25.022	121.498	278	SMTA	1 1024	99999
TAP026	25.017	121.503	267	IDS	9208	99080
