station_name	lattitude	longitude	elevation	Instrumentation
TCU048	24.1767	120.5972	245	NANO
TCU049	24.1783	120.6915	073	A900
TCU049	24.1767	120.6997	189	CV57
TCU049	24.1767	120.6997	554	NANO
TCU050	24.1783	120.6415	397	A900
TCU050	24.18	120.6417	155	SMTA
TCU050	24.1783	120.6417	511	NANO
TCU051	24.1567	120.6592	184	A900
TCU051	24.1583	120.6597	177	NANO
TCU052	24.195	120.7483	436	A900
TCU052	24.195	120.748	207	SMTA
TCU053	24.1917	120.6777	194	SMTA
TCU053	24.1917	120.6788	448	A900
TCU053	24.1917	120.6788	241	NANO
TCU054	24.1583	120.6842	211	SMTA
TCU054	24.16	120.6848	453	A900
TCU054	24.16	120.6848	238	NANO
TCU055	24.1367	120.6737	182	SMTA
TCU055	24.1367	120.6737	328	A900
TCU055	24.1367	120.6748	247	NANO
TCU056	24.1567	120.6335	207	SMTA
TCU056	24.1567	120.6335	419	A900
TCU056	24.1567	120.6335	221	NANO
TCU057	24.17	120.6193	313	A900
TCU057	24.17	120.62	158	SMTA
TCU058	24.2483	120.7125	431	A900
TCU058	24.2483	120.7127	200	SMTA
TCU059	24.2683	120.5637	104	A900
TCU059	24.2667	120.5718	191	CV57
TCU059	24.2667	120.5718	503	SMTA
TCU059	24.2667	120.5718	518	NANO
TCU060	24.2233	120.6422	240	A900
TCU060	24.2217	120.6503	186	CV57
TCU060	24.2217	120.6503	171	SMTA
TCU060	24.2217	120.6503	498	NANO
TCU061	24.1333	120.5568	528	A900
TCU061	24.1333	120.5568	669	SMTA
TCU061	24.1333	120.5568	501	NANO
TCU062	24.115	120.684	415	A900
TCU062	24.1133	120.6842	203	SMTA
TCU062	24.1133	120.6842	562	NANO
TCU063	24.1083	120.6157	165	A900
TCU063	24.1067	120.6238	181	SMTA
TCU063	24.1067	120.6237	581	NANO
TCU064	24.3433	120.6187	441	A900
TCU064	24.3433	120.6193	146	SMTA
TCU065	24.0567	120.6988	319	A900
TCU065	24.055	120.6998	165	NANO
TCU066	24.215	120.696	124	A900
TCU066	24.2133	120.7043	168	SMTA
TCU066	24.2133	120.7043	551	NANO
TCU067	24.09	120.7203	986	ETNA
TCU067	24.0883	120.7285	387	A900
TCU067	24.09	120.7282	205	SMTA
TCU068	24.2767	120.7657	076	A900
TCU068	24.275	120.7735	187	CV57
TCU068	24.275	120.7732	676	SMTA
TCU068	24.275	120.7732	537	NANO
TCU069	24.2583	120.8305	410	A900
TCU069	24.2583	120.831	377	SMTA
