201802061550 41.6224 6.0412143.78  6.316.2699  8.11820.28 0.2 0.2 F646B 14061550.P18634   
 ILA023 3   65.17   10.36  19.98  16.48 300.0 O2703701.SMT SMTA 20180206154900.  349.     
 ILA027 4   65.27   13.98  52.20  41.98 300.0 M9803701.SMT SMTA 20180206154900.    3.     
 ILA042 4   65.37    9.04  29.20  28.50 300.0 N0103700.SMT SMTA 20180206154900.    6.     
 ILA014 4   65.57    6.66  26.52  26.68  78.0 10803700.CVA CVA  20180206155033.    0.     
 ILA005 4   66.57   12.96  32.44  29.86  95.0 06103700.CVA CVA  20180206155037.    7.     
 HWA034 3   66.84   11.78  18.00  21.76 226.7 39103700.MNS NANO 20180206154958.  212.     
 ILA008 4   67.30   17.06  30.04  46.44  87.0 08103700.CVA CVA  20180206155045.    4.     
 ILA021 3   68.10    5.82  19.86  15.86  64.0 10403700.CVA CVA  20180206155059.  353.     
 MTN134 4   68.47   19.74  21.64  37.78 232.3 41403701.MNS NANO 20180206154955.  321.     
 ILA051 3   68.54    6.44   0.00  21.72 120.0 C3603700.SMT SMTA 20180206155000.  356.     
 ILA038 4   68.59   12.58  32.24  29.30 300.0 N3503700.SMT SMTA 20180206154900.    1.     
 ILA041 3   69.19    7.62  22.40  23.32 100.0 14517400.CVA CVA  20180206155101.    6.     
 ILA030 4   69.22   18.62  30.42  29.86 112.0 08303700.CVA CVA  20180206155009.    3.     
 ILA013 4   70.15    8.66  24.42  31.06  96.0 08703700.CVA CVA  20180206155053.    1.     
 ILA037 4   71.20   14.98  32.06  31.36 290.0 N0203701.SMT SMTA 20180206154900.  359.     
 ILA004 3   71.47    8.02  23.38  19.18 300.0 O2303700.SMT SMTA 20180206154900.    5.     
 ILA016 3   71.81    8.22  19.14  20.12 226.9 30903700.MNS NANO 20180206154957.  357.     
 HWA066 3   71.92   11.52  13.08  16.62  68.0 12303700.CVA CVA  20180206154958.  198.     
 ILA028 4   72.35   15.90  28.12  27.60  95.0 08903700.CVA CVA  20180206155052.    2.     
 TRB039 3   72.44    8.88  21.24  19.98  92.0 01603700.CVA CVA  20180206155041.    2.     
 ILA070 4   72.49   16.52  36.22  35.72 300.0 M3903701.SMT SMTA 20180206154900.    2.     
 HWA003 3   72.87    9.80  24.42  13.92  63.0 16817400.CVA CVA  20180206155111.  198.     
 ILA020 3   72.97    7.48  14.76  16.48 217.0 43303701.MNS NANO 20180206154957.  352.     
 TCU085 3   73.38    7.02  10.70  10.00 300.0 N8303700.SMT SMTA 20180206154900.  330.     
 ILA056 3   73.42    6.70  18.04  13.96 180.0 D1303700.SMT SMTA 20180206155000.    7.     
 ILA029 3   74.33    6.48  14.94  16.18 250.6 23703700.MNS NANO 20180206154958.    2.     
 MTN147 4   74.39   10.18  30.12  33.16  88.0 T076001.037  A900 20180206155038.  279.     
 MTN135 3   74.42    4.34  10.22  17.60 213.1 41003701.MNS NANO 20180206154957.  349.     
 ILA040 4   74.72    9.40  26.24  22.44 180.0 D8703701.SMT SMTA 20180206155000.    5.     
 ILA015 3   75.20    7.26  13.94  10.08  59.0 08003700.CVA CVA  20180206155045.  358.     
 ILA012 3   75.24    5.60  11.98  13.68  74.0 07903700.CVA CVA  20180206155043.    1.     
 MTN167 3   75.34   13.96  17.92  20.42 227.1 11803700.MNS NANO 20180206154957.  258.     
 MTN137 3   75.68    4.66   7.70   9.64 205.7 41103700.MNS NANO 20180206154959.  325.     
 HWA036 3   75.96   10.60  19.34  20.92 218.2 20203700.MNS NANO 20180206155002.  208.     
 ILA036 3   76.13    6.28  13.04  11.70  73.0 08217400.CVA CVA  20180206155102.    2.     
 MTN136 3   77.00    8.38  15.34  13.24  90.0 T022001.037  A900 20180206155049.  306.     
 HWA021 3   77.65    5.96   8.40   9.88 120.0 E9503700.SMT SMTA 20180206155000.  212.     
 ILA034 3   78.15    5.06  10.04  14.04  86.0 10103700.CVA CVA  20180206155016.    6.     
 TCU073 3   79.15    2.76  11.06   8.40 120.0 B8803700.SMT SMTA 20180206155000.  263.     
 ILA035 3   80.03    5.68  10.96  12.28 240.0 M9703700.SMT SMTA 20180206155000.    3.     
 TRB040 3   80.39    6.52  12.54  13.88  73.0 01903700.CVA CVA  20180206154943.    3.     
 MTN138 2   80.39    4.22   5.48   7.44 201.6 41803700.MNS NANO 20180206155007.  331.     
 HWA038 3   80.84    5.96   9.28  10.76 218.6 35803700.MNS NANO 20180206155006.  208.     
 TCU169 4   82.39    6.26  22.64  26.30  71.0 T509002.037  A900 20180206155037.  294.     
 TCU148 3   82.52    9.34  20.02  12.02 120.0 B9603700.SMT SMTA 20180206155000.  259.     
 ILA002 3   82.57    3.56   8.90  12.38 225.7 35503700.MNS NANO 20180206155001.    5.     
 MTN133 3   82.77    4.96   7.14   9.50 214.6 11603700.MNS NANO 20180206154959.  315.     
 MTN180 2   83.34    7.26   5.98   7.22 205.1 43403700.MNS NANO 20180206155002.  292.     
 TCU080 3   83.57    5.76  10.70   9.50 240.0 O2203700.SMT SMTA 20180206155000.  255.     
 HWA054 3   83.77    9.98  10.44  11.76 228.1 33603700.MNS NANO 20180206155006.  208.     
 MTN105 3   84.30    7.94   6.68   9.72  87.0 T255001.037  A900 20180206155033.  346.     
 MTN179 3   84.56    4.24  16.42   9.70  75.0 T194001.037  A900 20180206155035.  290.     
 ILA033 3   85.02    5.50  10.10   8.12 240.0 N0003700.SMT SMTA 20180206155000.    7.     
 MTN148 2   85.12    3.18   4.74   5.24  64.0 T014001.037  A900 20180206155051.  275.     
 TAP124 2   86.38    4.38   7.30   4.02 240.0 N8203700.SMT SMTA 20180206155000.  348.     
 TTN031 3   86.67    8.08  18.84  21.26 240.0 N7203700.SMT SMTA 20180206155000.  198.     
 TCU025 2   86.95    3.14   4.44   6.34 240.0 O2103700.SMT SMTA 20180206155000.  320.     
 TCU084 3   87.04    6.18  21.74  19.82 120.0 C0303700.SMT SMTA 20180206155000.  254.     
 TCU142 2   87.81    3.22   7.44   4.06 240.0 O1403700.SMT SMTA 20180206155000.  261.     
 HWA039 4   87.99   11.50  28.56  21.72 241.9 36303700.MNS NANO 20180206155004.  205.     
 MTN122 2   88.54    3.18   4.64   4.76 203.3 40203700.MNS NANO 20180206155008.  340.     
 TCU072 3   88.90    4.46   6.80   9.08 240.0 O2803700.SMT SMTA 20180206155000.  266.     
 TCU079 3   89.14    8.58  18.54  11.86 240.0 O3003700.SMT SMTA 20180206155000.  251.     
 MTN176 3   89.77    5.92   8.42   9.44 206.4 41703700.MNS NANO 20180206155007.  297.     
 TCU089 2   90.12    2.58   4.86   3.42 120.0 B7903700.SMT SMTA 20180206155000.  256.     
 TAP036 2   90.57    3.48   3.30   4.36 240.0 N8103700.SMT SMTA 20180206155000.  349.     
 MTN177 3   90.73    3.84   8.74   6.08  79.0 T063001.037  A900 20180206155045.  292.     
 TCU023 3   91.01    5.12   8.72  11.42 240.0 N8403700.SMT SMTA 20180206155000.  319.     
 TTN001 3   91.39   12.50  18.02  14.94 240.0 N0303700.SMT SMTA 20180206155000.  198.     
 MTN111 2   91.56    2.80   4.28   5.54  61.0 T080001.037  A900 20180206155057.  339.     
 MTN178 3   92.09    9.04  14.64  13.04  90.0 T241001.037  A900 20180206155045.  288.     
 TAP085 2   92.80    2.86   6.72   4.04 194.5 42903700.MNS NANO 20180206155010.  359.     
 TAP035 3   92.89    3.98   8.64   9.24 215.4 10503700.MNS NANO 20180206155001.  348.     
 TCU069 3   92.99    3.84   8.44   6.68 120.0 D7703700.SMT SMTA 20180206155000.  281.     
 TCU161 2   93.63    0.00   4.99   5.13  49.0 T504001.037  A900 20180206155036.  328.     
 HWA024 2   93.64    3.80   4.66   4.58  60.0 F2303700.SMT SMTA 20180206155100.  208.     
 TCU127 2   93.71    3.54   5.00   5.88 120.0 G6803700.SMT SMTA 20180206155000.  309.     
 MTN123 3   94.09    4.64   8.06   8.78 217.8 39303700.MNS NANO 20180206155003.  349.     
 MND001 2   94.40    3.64   7.82   6.96  50.0 T499001.037  A900 20180206155050.  279.     
 TCU078 2   94.74    3.76   6.78   6.30 240.0 O2503700.SMT SMTA 20180206155000.  250.     
 TAP074 2   94.88    4.24   7.66   6.62 240.0 O1303700.SMT SMTA 20180206155000.  354.     
 TCU174 2   94.94    3.82   6.24   7.36 120.0 B7203700.SMT SMTA 20180206155000.  278.     
 MTN150 2   94.96    3.76   6.30   6.66  75.0 T043001.037  A900 20180206155056.  278.     
 HWA055 3   95.08   16.14  22.46  22.40  91.0 09503700.CVA CVA  20180206155042.  205.     
 HWA065 3   95.14    7.72  10.96  21.64 228.2 35703700.MNS NANO 20180206155008.  206.     
 TRB034 3   95.31    7.94  17.40  14.92  77.0 02403700.CVA CVA  20180206155046.  207.     
 TAP086 2   95.40    3.52   5.82   6.64 181.1 33903700.MNS NANO 20180206155006.  351.     
 TCU045 2   95.45    3.12   6.80   7.22 240.0 O2603700.SMT SMTA 20180206155000.  301.     
 TCU028 3   95.45    4.46  12.48  11.28 237.0 17103700.MNS NANO 20180206155006.  314.     
 TCU024 3   95.81    5.22  10.02  11.04 120.0 D5903700.SMT SMTA 20180206155000.  317.     
 TCU071 2   95.92    3.20   6.04   6.68 120.0 B8603700.SMT SMTA 20180206155000.  262.     
 MTN170 3   96.39    4.22   9.98  10.20 206.3 41603700.MNS NANO 20180206155012.  247.     
 TAP034 2   96.42    3.24   7.18   5.84 213.5 31403700.MNS NANO 20180206155006.  348.     
 TCU147 2   96.64    5.84   6.72   6.90 240.0 N4403700.SMT SMTA 20180206155000.  330.     
 MTN142 3   96.93    7.82  14.64  15.80 240.1 33803700.MNS NANO 20180206155004.  321.     
 TCU046 2   97.02    2.76   5.48   6.12 240.0 L6303700.SMT SMTA 20180206155000.  295.     
 TCU095 3   97.08    5.96  11.54   7.94 240.0 L5903700.SMT SMTA 20180206155000.  312.     
 TAP113 2   97.69    2.42   5.06   4.88 240.0 L5303700.SMT SMTA 20180206155000.  358.     
 MTN110 2   97.75    4.54   6.58   6.70  88.0 T084001.037  A900 20180206155040.  341.     
 TAP067 2   98.15    2.86   3.42   4.92  60.0 C9103700.SMT SMTA 20180206155100.  352.     
