201904180501 07.1124 3.2612133.55 20.336.3299  4.0 330.33 0.2 0.1 F674B 16180500.P19663   
 ILA071 5   67.21   51.96 165.96 115.76  72.0 09110800.CVA CVA  20190418050044.   21.     
 ILA068 5   67.31   52.68 100.88  67.92 120.0 D0610800.SMT SMTA 20190418050100.   27.     
 MTN136 4   67.46   10.76  19.56  34.96  89.0 T022001.108  A900 20190418050100.  318.     
 ILA022 4   68.48   29.06  64.56  62.06 206.5 18210800.MNS NANO 20190418050021.    8.     
 ILA052 4   68.52   26.16  49.58  63.50  60.0 E9810800.SMT SMTA 20190418050100.   26.     
 MND014 4   68.53   20.54  57.00  41.00  59.0 05910800.CVA CVA  20190418045945.   28.     
 MTN148 3   68.67    5.64   8.62   7.50  71.0 T014001.245  A900 20190418050106.  281.     
 TCU189 3   68.75    5.84   9.82   6.78 240.0 O5810800.SMT SMTA 20190418050000.  281.     
 HWA037 3   68.81   15.32  24.48  16.70 236.3 38310800.MNS NANO 20190418050024.  194.     
 ILA032 5   68.81   41.88  60.76 100.32 210.5 42010800.MNS NANO 20190418050021.   24.     
 TCU084 3   68.96    6.08  14.54  14.72 120.0 C0310800.SMT SMTA 20190418050100.  254.     
 HWA038 3   69.26    7.46  13.84   9.30 208.9 35810800.MNS NANO 20190418050023.  198.     
 ILA023 4   69.34   25.48  66.46  51.18 216.1 45410800.MNS NANO 20190418050021.    4.     
 ILA044 5   69.50   36.50 101.50 128.28  99.0 09210800.CVA CVA  20190418050113.   17.     
 ILA047 5   69.51   35.40  91.46 143.22 300.0 O7010800.SMT SMTA 20190418050000.   20.     
 TCU169 4   69.56    0.00  20.52  32.64 240.0 F3710800.SMT SMTA 20190418050000.  303.     
 TCU142 3   69.95    4.04   4.98   8.38 240.0 O1410800.SMT SMTA 20190418050000.  263.     
 ILA046 5   70.14   32.24  52.08 114.92 216.5 53110800.MNS NANO 20190418050021.   15.     
 MTN180 2   70.25    7.14   6.18   7.64 199.5 43410800.MNS NANO 20190418050024.  302.     
 ILA018 5   70.51   28.46  70.26  82.14 240.0 L8110800.SMT SMTA 20190418050000.   11.     
 ILA006 5   70.52   37.16  88.24 128.04  80.0 06210800.CVA CVA  20190418044647.   23.     
 MTN179 3   70.84    8.04  14.82  15.00  83.0 T476001.108  A900 20190418050102.  299.     
 TCU072 3   71.33    4.66   8.44  12.06 240.0 O2810800.SMT SMTA 20190418050000.  269.     
 TCU085 4   71.33   29.86  41.90  60.26 240.0 N8310800.SMT SMTA 20190418050000.  344.     
 ILA058 5   71.59   28.92 165.60 128.42  91.0 10910800.CVA CVA  20190418050055.   16.     
 ILA026 5   71.91   35.78 131.46 137.64 254.8 53010800.MNS NANO 20190418050021.   18.     
 MTN137 3   72.01    9.64  13.90  15.94 205.9 41110800.MNS NANO 20190418050021.  339.     
 TCU089 2   72.07    3.34   3.92   4.78  60.0 B7910800.SMT SMTA 20190418050100.  257.     
 ILA059 5   73.04   18.66  87.78  90.62 120.0 D4110800.SMT SMTA 20190418050100.   22.     
 ILA027 5   73.38   19.48  83.02  60.22 300.0 M9810800.SMT SMTA 20190418050000.   17.     
 ILA021 4   73.41   18.16  45.66  61.02  65.0 10410800.CVA CVA  20190418050158.    7.     
 MTN132 3   73.80    6.72  13.62  13.62 200.8 20910800.MNS NANO 20190418050022.  321.     
 ILA042 5   74.22   26.36  89.82  62.16 262.5 50910800.MNS NANO 20190418050022.   19.     
 ILA051 5   74.57   39.02  94.90 111.82 120.0 C3610800.SMT SMTA 20190418050100.   10.     
 ILA072 5   74.69   12.96  74.72  97.78 254.6 50810800.MNS NANO 20190418050023.   17.     
 TCU193 3   75.35    7.98   9.64  18.40 240.0 N4310800.SMT SMTA 20190418050000.  320.     
 ILA008 5   75.42   25.52  85.82  63.84  91.0 08110800.CVA CVA  20190418050100.   17.     
 ILA005 5   75.67   23.14  85.42  75.72  92.0 06110800.CVA CVA  20190418050054.   20.     
 MTN133 3   75.72    7.20  11.54  14.92 212.7 11610800.MNS NANO 20190418050025.  327.     
 HWA053 3   75.78    8.10  10.40  10.84  47.0 11310800.CVA CVA  20190418050056.  199.     
 ILA038 4   76.06   17.98  39.22  59.26 300.0 N3510800.SMT SMTA 20190418050000.   14.     
 TCU078 2   76.69    4.76   5.72   6.28 198.3 39710800.MNS NANO 20190418050031.  249.     
 HWA039 3   77.09    5.34   8.94  10.00 213.5 36310800.MNS NANO 20190418050031.  195.     
 ILA030 5   77.11   30.54  48.84  82.72  96.0 08310800.CVA CVA  20190418050004.   16.     
 TCU069 3   77.41    6.16  11.94   9.26 216.1 57110800.MNS NANO 20190418050025.  287.     
 ILA013 4   77.43   22.88  77.48  64.82  96.0 08710800.CVA CVA  20190418050114.   14.     
 MTN177 3   77.49    7.00  11.56  12.22  84.0 T063001.245  A900 20190418050104.  301.     
 MTN176 3   77.63   10.96  13.34  10.92 206.7 41710800.MNS NANO 20190418050023.  306.     
 MTN178 3   77.82   13.46  23.66  22.24 233.9 53910800.MNS NANO 20190418050023.  295.     
 ILA020 5   77.86   15.22  85.30  60.88 211.1 43310800.MNS NANO 20190418050022.    6.     
 ILA041 5   77.89   17.12  59.48  93.28 104.0 14510800.CVA CVA  20190418050119.   18.     
 TTN031 3   77.89    5.64  18.56  15.48 210.9 54910800.MNS NANO 20190418050026.  187.     
 ILA016 5   77.98   26.84  82.46  76.36 225.7 30910800.MNS NANO 20190418050023.   10.     
 TCU209 3   78.09    5.62   7.34   8.04 240.0 O2710800.SMT SMTA 20190418050000.  325.     
 TCU071 3   78.11    5.06   8.18   9.98 205.3 47110800.MNS NANO 20190418050027.  264.     
 ILA037 5   78.12   22.16  62.20  91.30 230.4 48510800.MNS NANO 20190418050023.   12.     
 MTN170 3   78.43    7.32  13.52  14.82 197.9 41610800.MNS NANO 20190418050032.  246.     
