STAID	Vs30	Z1
TAP025	250.1775	314
TAP026	200.5818	176
TAP027	195.6507	99
TAP028	243.729264272901	341
TAP029	310.233638625233	124
TAP030	358.29985104472	115
TAP031	222.0002	167.4
TAP032	314.8615	163.6
TAP033	486.3419	235
TAP034	372.223967383972	195
TAP035	404.6945	52
TAP036	535.123286822947	64.0126
TAP037	219.8773	205
TAP038	209.0301	480
TAP039	661.5944	72
TAP040	432.526	32
TAP041	360.5336	174
TAP042	509.652968532215	271
TAP043	382.6301	183
TAP044	472.9996	176
TAP045	987.65	12
TAP046	822.03	10.5
TAP047	571.211	124
TAP048	403.553429055208	132
TAP049	528.156445415356	89
TAP050	281.003824965054	113
TAP051	401.8216	155
TAP052	434.4049	68
TAP053	307.02	280
TAP054	309.7414	195
TAP055	731.55	16
TAP056	590.0871	8
TAP057	366.57	88
TAP058	1056.71	15.5
TAP059	450.55	31
TAP060	691.91	33
TAP061	490.46	34
TAP062	589.58	109
TAP063	631.78	12
TAP064	975.23	9
TAP065	1034.6611	9.5
TAP066	657.9669	20.9
TAP067	814.9959	12.5
TAP068	429.83	59
TAP069	804.56	29
TAP070	701.67	14
TAP071	831.3704	35.4
TAP072	835.24	8
TAP073	659.15	22
TAP074	984.52	10
TAP075	851.06	30
TAP076	670.72	9
TAP077	992.3917	5.5
TAP078	738.9	21
TAP079	584.67	16
TAP080	401.7678	25.5
TAP081	894.53	21
TAP082	829.37	9
TAP083	497.798416824513	18
TAP084	204.0816	226
TAP085	895.1216	9.5
TAP086	942.8038	21
TAP087	510.681264051479	72.9308
TAP088	227.9819	52
TAP089	442.119	24
TAP090	324.6051	156
TAP091	177.3	168
TAP092	255.026557461724	89
TAP093	193.5796	172
TAP094	409.86	596
TAP095	205.9237	105
TAP096	161.0393	145
TAP097	408.230465756448	170
TAP098	525.77513678819	53
TAP099	236.605784880827	340.2333
TAP100	236.605784880827	138
TAP101	427.857668647672	126
TAP103	444.9388	89
TAP104	714.96	47
TAP105	1464.83	2
TAP106	529.869803203274	155
TAP107	471.817491877783	42.9
